Epoch	Time(sec)	Loss_train	Loss_test	AUC_train	AUC_test
1	7.978118800000004	317.24321684241295	32.638232707977295	0.6278310215422764	0.5
2	13.7901831	278.9723941087723	28.894279032945633	0.7702349060154537	0.5210280373831776
3	19.6063167	259.9628495275974	26.597898721694946	0.817682849204065	0.5817757009345794
4	25.5139822	244.40729147195816	24.564168334007263	0.856260931653641	0.5584112149532711
5	31.402738400000004	241.32909280061722	28.544763028621674	0.8610806839063918	0.5560747663551402
6	37.160355100000004	229.05132788419724	24.640757650136948	0.8880962594371997	0.616822429906542
7	42.92058230000001	227.29255750775337	24.65119430422783	0.8954625334868377	0.6822429906542056
8	48.6422146	223.43436327576637	24.34545025229454	0.8997881473199459	0.7593457943925234
9	54.385825999999994	219.2445488870144	24.4312441945076	0.9043737684592734	0.7079439252336449
10	60.1319328	222.38790372014046	24.587614953517914	0.8916554121371798	0.7476635514018691
11	65.8974601	221.5075188279152	25.45431950688362	0.901761795115903	0.735981308411215
12	71.6328245	218.5266953110695	24.70784604549408	0.9014327385037748	0.7616822429906542
13	77.3693238	214.65081775188446	24.387735545635223	0.9106056412867802	0.8271028037383178
14	83.2396573	213.4319083094597	23.874110490083694	0.9103121471428255	0.7733644859813084
15	89.072474	213.17961287498474	24.558233082294464	0.9073015143799676	0.735981308411215
16	94.92779530000001	212.4257054924965	25.504796355962753	0.9123812739389379	0.7032710280373832
17	100.6865842	209.35336926579475	25.089640647172928	0.9176403679677642	0.75
18	106.46744050000001	208.4986160993576	23.91786751151085	0.9184713120198376	0.8084112149532711
19	112.41849149999999	208.60577630996704	23.7214113175869	0.920500033210087	0.8130841121495327
20	118.16730190000001	210.19897189736366	24.34956392645836	0.9151829599043548	0.7873831775700935
21	123.88726589999999	206.70106083154678	24.67150017619133	0.9180440089003032	0.8317757009345794
22	129.66465780000001	205.84166637063026	24.48180142045021	0.9178047578984657	0.7990654205607477
23	135.4610257	204.06005856394768	23.668665260076523	0.9207059357495516	0.8317757009345794
24	141.3374087	203.51987287402153	23.9858275949955	0.9261771592091572	0.7967289719626168
25	147.1251952	204.22064229846	23.670502454042435	0.9239940111143092	0.794392523364486
26	152.8550635	202.77908968925476	23.37880629301071	0.9261667810569664	0.8247663551401869
27	158.6017045	201.6099491417408	23.84910175204277	0.928105143135475	0.8107476635514018
28	164.3676218	199.55660524964333	24.027063250541687	0.9310781377997209	0.8504672897196262
29	170.0474349	197.49698695540428	23.561367511749268	0.9326806628733368	0.8387850467289719
30	175.8556402	197.8601766526699	23.7193201482296	0.9322157216551907	0.8598130841121495
31	181.7239976	200.09525313973427	23.623675018548965	0.9264739743618127	0.8317757009345794
32	187.6329138	196.52508062124252	23.336526185274124	0.9297883410454535	0.8481308411214953
33	193.4123386	198.46930620074272	23.418376445770264	0.930084602696659	0.8504672897196262
34	199.49450050000002	194.4082482457161	23.7136313021183	0.9352026922310536	0.8387850467289719
35	205.4677165	200.70861214399338	24.01083528995514	0.9261078331525229	0.8644859813084113
36	211.3624888	195.86229991912842	23.755288302898407	0.9301391225895013	0.8457943925233645
37	217.3292759	196.18313038349152	23.253429532051086	0.9329102275997962	0.8644859813084113
38	223.15936319999997	196.70118939876556	23.47918853163719	0.9317503653109571	0.8271028037383178
39	229.44007290000002	197.2209675014019	23.24500021338463	0.9313850543538424	0.8574766355140186
40	235.3358796	194.68425488471985	23.3178488612175	0.9343875229703101	0.8738317757009346
41	241.2129114	194.4705284833908	23.172710478305817	0.9352443432151792	0.8411214953271028
42	247.35303040000002	195.31215980648994	23.111324280500412	0.9352324429340003	0.8598130841121495
43	253.8599886	197.80221179127693	23.494135349988937	0.9235880178006066	0.852803738317757
44	259.7428377	209.23983377218246	23.325403153896332	0.9041245544313325	0.8037383177570093
45	265.9124054	194.0753507912159	23.211865931749344	0.9397402971195784	0.7616822429906542
46	271.8030794	190.9743885397911	22.522603660821915	0.9436366705780768	0.866822429906542
47	277.6590417	191.2318955361843	22.84874004125595	0.9412975734496425	0.8434579439252337
48	283.5484356	193.06385627388954	22.60175722837448	0.9378520269223104	0.8551401869158879
49	289.4176003	193.4884047806263	23.064111173152924	0.938754787787544	0.8317757009345794
50	295.1831274	189.5165103673935	22.960983246564865	0.9428717315739368	0.8364485981308412
51	300.9184313	188.61756372451782	22.39685422182083	0.9427095556490357	0.8481308411214953
52	306.7103178	188.15301448106766	22.777961879968643	0.9443962129430781	0.8481308411214953
53	312.4797706	187.9348065853119	22.944279432296753	0.9441023036730357	0.8714953271028038
54	318.2696366	190.97034007310867	23.335656315088272	0.942775283946244	0.8154205607476636
55	324.0889199	186.2910958826542	23.607583343982697	0.9473658865986229	0.8761682242990654
56	329.8397603	191.74160689115524	23.447907716035843	0.9414558748643923	0.8644859813084113
57	335.5994504	194.81027820706367	23.206230401992798	0.937126940022583	0.8574766355140186
58	341.3775635	190.6746831536293	24.149238735437393	0.9374445114796202	0.8457943925233645
59	347.1001388	195.20764675736427	23.954832911491394	0.9342510848628423	0.8761682242990654
60	352.7801358	190.20406275987625	23.075047731399536	0.9432196072353709	0.866822429906542
61	358.5528977	187.0626514852047	23.247406661510468	0.9438507372639315	0.8691588785046729
62	364.3488461	185.67985355854034	23.73073834180832	0.9450919642659463	0.8551401869158879
63	370.1435784	188.1088071167469	23.3048914372921	0.941426816038258	0.8621495327102804
64	375.8659515	186.80388006567955	23.546401858329773	0.9451673788385325	0.866822429906542
65	381.7276661	188.95860874652863	24.229313910007477	0.9440700622135629	0.8598130841121495
66	387.51385	191.73364207148552	23.37703275680542	0.9371424380631876	0.8574766355140186
67	393.2823699	184.55252808332443	22.943736404180527	0.9455075054796644	0.8785046728971962
68	399.063511	190.298308968544	23.35032856464386	0.9410981745522173	0.8691588785046729
69	404.8173183	185.3717736005783	22.815778493881226	0.945104833174663	0.8714953271028038
