smiles, isactive
CCCCC(CC)COC(=O)C(C#N)=C(c1ccccc1)c1ccccc1,1
CNCCCN1c2ccccc2CCc2ccccc21,1
Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1,1
CCOC(=O)C1OC1C(=O)NC(CC(C)C)C(=O)NCCC(C)C,1
S=C(NCc1ccc2c(c1)OCO2)N1CCN(c2ncnc3c2oc2ccccc23)CC1,1
C=CCc1ccccc1OCC(O)CNC(C)C,1
N#CC1(c2ccc3c(N)ncnn23)OC(CO)C(O)C1O,1
OC(c1cc(C(F)(F)F)nc2c(C(F)(F)F)cccc12)C1CCCCN1,1
OC1C=C2CCN3Cc4cc5c(cc4C(C1O)C23)OCO5,1
OCCN1CCN(CCCN2c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,1
COc1cc2c(cc1OC)C1C(=O)c3ccc4c(c3OC1CO2)CC(C(C)C)O4,1
COc1c(CC(=O)c2cc3c(cc2O)OC(C)(C)C(O)C3)ccc2c1C=CC(C)(C)O2,1
O=C(Nc1cc(Cl)cc(Cl)c1O)c1c(O)c(Cl)cc(Cl)c1Cl,1
CCC(CC)COC(=O)C(C)NP(=O)(OCC1OC(C#N)(c2ccc3c(N)ncnn23)C(O)C1O)Oc1ccccc1,1
CC(C)c1ccc2c(c1)c(SC(C)(C)C)c(CC(C)(C)C(=O)O)n2Cc1ccc(Cl)cc1,1
O=C(C=Cc1ccccc1)c1ccc(O)cc1,1
CN1CCN(c2nc(C3=C(c4c[nH]c5ccccc45)C(=O)NC3=O)c3ccccc3n2)CC1,1
CC(=O)C1=C(O)C2C3c4c[nH]c5cccc(c45)CC3C(C)(C)N2C1=O,1
CCN(CC)CCNc1ccc(CO)c2sc3ccccc3c(=O)c12,1
CC1C2CCC3C4CC=C5CC(N(C)C)CCC5(C)C4CCC32CN1C,1
COC(=O)C1=C(C)NC(C)=C(C(=O)OC(C)(C)CN(C)CCC(c2ccccc2)c2ccccc2)C1c1cccc([N+](=O)[O-])c1,1
CCN(CCO)CCCC(C)Nc1ccnc2cc(Cl)ccc12,1
CC(CN1c2ccccc2Sc2ccccc21)N(C)C,1
CCC1C=CC=CCC(C)C(O)C(C)(O)C(=O)C(C)C(O)C(C)C(=O)C(C)C(O)C(C)C=CC(=O)OC2C(C)C(CC1)OC1(CCC(C)C(CC(C)O)O1)C2C,1
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CCC5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1
CCSc1ccc2c(c1)N(CCCN1CCN(C)CC1)c1ccccc1S2,1
CN1CCN(CCOc2cc(OC3CCOCC3)c3c(Nc4c(Cl)ccc5c4OCO5)ncnc3c2)CC1,1
CC(C)(C)c1cc(C(=O)C(C#N)=NNc2cccc(Cl)c2)no1,1
CC1OC(OC2C(O)CC(OC3C(O)CC(OC4CCC5(C)C(CCC6C5CC(O)C5(C)C(C7=CC(=O)OC7)CCC65O)C4)OC3C)OC2C)CC(O)C1O,1
CN(C)CCCN1c2ccccc2CCc2ccc(Cl)cc21,1
COC(=O)CC(O)(CCCC(C)(C)O)C(=O)OC1C(OC)=CC23CCCN2CCc2cc4c(cc2C13)OCO4,1
Clc1ccccc1CN1CCc2sccc2C1,1
NS(=O)(=O)c1cc2c(cc1C(F)(F)F)NCNS2(=O)=O,0
CN(C)CCCSC(=N)N,0
CC(C)CC(NC(=O)C(C)NC(=O)CNC(=O)C(NC=O)C(C)C)C(=O)NC(C)C(=O)NC(C(=O)NC(C(=O)NC(C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NC(CC(C)C)C(=O)NC(Cc1c[nH]c2ccccc12)C(=O)NCCO)C(C)C)C(C)C)C(C)C,0
O=c1[nH]oc2c1CCNC2,0
CCc1oc2ccccc2c1C(=O)c1cc(Br)c(O)c(Br)c1,0
c1ccc2c(c1)CN1CCCC1=N2,0
C#CCN(C)C(C)Cc1ccccc1,0
CN1CCCC1Cc1c[nH]c2ccc(CCS(=O)(=O)c3ccccc3)cc12,0
CN1C2CC(=O)CC1C(O)C2,0
C=C1C2CCC3(C)C(c4ccoc4)OC(=O)CC13OC1CC(OC(C)=O)C(C)(C)C(CC(=O)OC)C12C,0
C=C(C)C1CNC(C(=O)O)C1CC(=O)O,0
O=[N+]([O-])c1cc([As](=O)(O)O)ccc1O,0
C#CCCCCCCCCCCCC(O)CC(O)COC(C)=O,0
Cc1ncc(CNC(=O)N(CCCl)N=O)c(N)n1,0
O=C([O-])CS,0
COc1cc(C)c(C(=O)Oc2cc(C)c(C(=O)O)c(O)c2C)c(O)c1C=O,0
CC(N)CCCC(C)(C)O,0
NC1CONC1=O,0
Cc1cc(NC(=O)C2=C(O)c3ccccc3S(=O)(=O)N2C)no1,0
c1coc(CNc2ncnc3nc[nH]c23)c1,0
CON=C(C(=O)NC1C(=O)N2C(C(=O)[O-])=C(COC(N)=O)CSC12)c1ccco1,0
CCC1(O)CC2CN(CCc3c([nH]c4ccccc34)C(C(=O)OC)(c3cc4c(cc3OC)N(C)C3C(O)(C(=O)OC)C(OC(C)=O)C5(CC)C=CCN6CCC43C65)C2)C1,0
CC(C)=CCCC1(C)C=Cc2c(O)c3c(c(CC=C(C)C)c2O1)OC12C(=CC4CC1C(C)(C)OC2(CC=C(C)C(N)=O)C4=O)C3=O,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4(C)C3CCC21C,0
CCN(CC)CCOCCOC(=O)C1(c2ccccc2)CCCC1,0
C[n+]1ccccc1C=NO,0
CC(O)(P(=O)([O-])O)P(=O)([O-])O,0
C#CC1(O)CCC2C3CCC4=CC(=O)CCC4C3CCC21C,0
CC(C)c1ccc2c(c1)CCC1C(C)(CN)CCCC21C,0
CC=C(C(=CC)c1ccc(O)cc1)c1ccc(O)cc1,0
COc1cc2c(cc1OC)-c1c(oc3cc(O)cc(O)c3c1=O)CO2,0
COc1ccc(-c2cc(=O)c3c(O)c(OC)c(OC)c(OC)c3o2)cc1,0
CCCCS(=N)(=O)CCC(N)C(=O)O,0
O=C(O)c1ccc2c(c1)OCO2,0
Nc1nc(=S)c2[nH]cnc2[nH]1,0
CNC1C(O)C(OC2C(N)CC(N)C(OC3OC(C(C)N)CCC3N)C2O)OCC1(C)O,0
Nc1c2c(nc3ccccc13)CCCC2,0
N=C(N)c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1,0
C=C1c2cccc(O)c2C(O)=C2C(=O)C3(O)C(O)=C(C(N)=O)C(=O)C(N(C)C)C3C(O)C12,0
COc1ccc2cc(C(C)CO)ccc2c1,0
NC(=O)NCCCC(N)C(=O)O,0
